epoch,train_accuracy,train_auc,train_f1,train_f1_macro,train_precision,train_sensitivity,train_specificity,train_loss,val_accuracy,val_auc,val_f1,val_f1_macro,val_precision,val_sensitivity,val_specificity,val_loss,duration_seconds
0,0.625,0.6844143867492676,0.5460167527198792,0.6132950782775879,0.46542635560035706,0.6603607535362244,0.6066620945930481,0.640155672453917,0.6423444747924805,0.7655221223831177,0.5986577272415161,0.6380559206008911,0.4806034564971924,0.7935943007469177,0.5657657384872437,0.6030203934226718,104.73
1,0.6646634340286255,0.7292150855064392,0.5881918668746948,0.6526869535446167,0.5061924457550049,0.7018934488296509,0.6453819870948792,0.6109378269085517,0.7165071964263916,0.7778269052505493,0.5976231098175049,0.6893932819366455,0.5714285969734192,0.626334547996521,0.7621621489524841,0.5916539058089256,6.85
2,0.6648136973381042,0.7363912463188171,0.5932543277740479,0.6541076898574829,0.5062227845191956,0.7164244651794434,0.638084352016449,0.6004965640604496,0.6519138813018799,0.7822833061218262,0.6155878305435181,0.6487774848937988,0.48949578404426575,0.8291814923286438,0.5621621608734131,0.5854622402361461,5.11
3,0.669020414352417,0.745207667350769,0.6034203171730042,0.6597093939781189,0.51050865650177,0.7376760840415955,0.6334397792816162,0.5959163838281081,0.7117224931716919,0.7835401296615601,0.6119162440299988,0.69130539894104,0.5588235259056091,0.6761565804481506,0.7297297120094299,0.5825306911553655,5.2
4,0.6654146909713745,0.7442404627799988,0.5957524180412292,0.6551746726036072,0.506950855255127,0.7222711443901062,0.635948896408081,0.5914806952843299,0.7188995480537415,0.7839120626449585,0.5927209854125977,0.689054548740387,0.5777027010917664,0.608540952205658,0.7747747898101807,0.59517638278859,5.16
5,0.6640625,0.7497142553329468,0.6017100214958191,0.6556224822998047,0.5053859949111938,0.7433978915214539,0.622947096824646,0.587916601735812,0.7045454382896423,0.7936712503433228,0.6251896619796753,0.6906797289848328,0.5449735522270203,0.7330960631370544,0.6900901198387146,0.5702766988958631,5.23
6,0.673828125,0.7502078413963318,0.6087583303451538,0.6645492315292358,0.5157251954078674,0.7427440881729126,0.6380648016929626,0.5894769576306527,0.6483253836631775,0.7876887917518616,0.6181818246841431,0.6461197137832642,0.48670756816864014,0.8469750881195068,0.5477477312088013,0.5750780722924641,5.19
7,0.6696214079856873,0.7567541003227234,0.6018468141555786,0.6597627997398376,0.5112273097038269,0.7315140962600708,0.637545645236969,0.5828566247454057,0.6770334839820862,0.7915359735488892,0.6186440587043762,0.6692805290222168,0.5128805637359619,0.7793594598770142,0.6252252459526062,0.567650032894952,5.3
8,0.668870210647583,0.7512143850326538,0.6004350781440735,0.6588630080223083,0.5106382966041565,0.7285525798797607,0.6379192471504211,0.5860202682132905,0.7057416439056396,0.7936199307441711,0.6107594966888428,0.6871105432510376,0.5498575568199158,0.6868327260017395,0.7153153419494629,0.5694710271699088,5.2
9,0.6763821840286255,0.7609015703201294,0.608790397644043,0.6664243936538696,0.518403947353363,0.7373515367507935,0.6447638869285583,0.57929174344127,0.6913875341415405,0.790477991104126,0.6079027652740479,0.6767324209213257,0.5305039882659912,0.7117437720298767,0.6810810565948486,0.5629349734101977,5.24
10,0.6762319803237915,0.7591985464096069,0.6100959181785583,0.6666407585144043,0.5179723501205444,0.7420774698257446,0.6421076655387878,0.5795488687088857,0.7248803973197937,0.8016414642333984,0.6153846383094788,0.7006160020828247,0.5804416537284851,0.6548042893409729,0.7603603601455688,0.5660562493971416,7.22
11,0.6694711446762085,0.7630473375320435,0.6090973615646362,0.6613940596580505,0.5110316276550293,0.7537379264831543,0.6257416605949402,0.5746359982742713,0.7332535982131958,0.8012567758560181,0.6148532032966614,0.705413818359375,0.5973154306411743,0.6334519386291504,0.7837837934494019,0.5742462293377945,7.39
12,0.674879789352417,0.759993314743042,0.6081129908561707,0.6651604771614075,0.5169335007667542,0.738346517086029,0.6419442892074585,0.5779347024284877,0.6985645890235901,0.7961591482162476,0.6012658476829529,0.6794791221618652,0.5413105487823486,0.6761565804481506,0.7099099159240723,0.5610057488083839,7.15
13,0.6739783883094788,0.7599723935127258,0.606598973274231,0.6641255617141724,0.5155624151229858,0.7366798520088196,0.6415051221847534,0.5760372063288322,0.7236841917037964,0.8057452440261841,0.6206896305084229,0.7016900777816772,0.5762194991111755,0.6725978851318359,0.7495495676994324,0.55961767158338,8.75
14,0.678786039352417,0.7693411111831665,0.6092836260795593,0.6682897806167603,0.520774781703949,0.7340378761291504,0.6501710414886475,0.5703438718158466,0.6949760913848877,0.7975761890411377,0.617691159248352,0.6819798946380615,0.5336787700653076,0.7330960631370544,0.6756756901741028,0.5580003229635102,8.2
15,0.6681190133094788,0.7601766586303711,0.6084027886390686,0.6602175235748291,0.5096524953842163,0.7546173930168152,0.6232314109802246,0.5762384955126506,0.7224880456924438,0.8007887005805969,0.6067796349525452,0.6961809396743774,0.5792880058288574,0.6370106935501099,0.7657657861709595,0.5693274172289031,8.84
16,0.676682710647583,0.7677550315856934,0.6166725754737854,0.668559730052948,0.5184186697006226,0.7608790993690491,0.6329604983329773,0.5698599617641705,0.6806219816207886,0.7999102473258972,0.6296809911727905,0.6744619607925415,0.5159090757369995,0.8078292012214661,0.616216242313385,0.5521174626691001,8.76
17,0.6723257303237915,0.7679919004440308,0.612404465675354,0.6643024682998657,0.5138681530952454,0.7576956748962402,0.6280237436294556,0.5695031164930417,0.6614832282066345,0.7924401164054871,0.6128590703010559,0.656057596206665,0.4977777898311615,0.7971529960632324,0.592792809009552,0.5618716031312943,8.6
18,0.6756309866905212,0.7733685970306396,0.6127354502677917,0.6668433547019958,0.5174189805984497,0.7510994076728821,0.6364673376083374,0.5615162227589351,0.7404305934906006,0.8020967245101929,0.6186291575431824,0.7109465003013611,0.6111111044883728,0.626334547996521,0.7981982231140137,0.5697329198675496,9.92
19,0.677734375,0.7725865244865417,0.6133044958114624,0.6685324907302856,0.5193893313407898,0.7486795783042908,0.6409671306610107,0.5681053454486223,0.6351674795150757,0.7962168455123901,0.6163522005081177,0.6342878341674805,0.47665369510650635,0.871886134147644,0.5153152942657471,0.557050102523395,8.42
20,0.6837440133094788,0.7778434753417969,0.6183136701583862,0.6741690635681152,0.5260722041130066,0.7497801184654236,0.64947509765625,0.561380383773492,0.6961722373962402,0.8033086061477661,0.6186186075210571,0.683066725730896,0.5350649356842041,0.7330960631370544,0.6774774789810181,0.5449882543512753,9.16
21,0.6789363026618958,0.7745034098625183,0.6130726337432861,0.6693556904792786,0.5207628607749939,0.7451584339141846,0.6446167826652527,0.561327380916247,0.7320573925971985,0.8091821670532227,0.6279069781303406,0.7092806100845337,0.5887850522994995,0.6725978851318359,0.7621621489524841,0.5586632309215409,8.68
22,0.6841946840286255,0.7770935893058777,0.6211247444152832,0.6751940250396729,0.5259462594985962,0.7583626508712769,0.6457573175430298,0.5588497035205364,0.7595694065093994,0.8094834685325623,0.5695931315422058,0.7013940811157227,0.7150537371635437,0.47330960631370544,0.9045044779777527,0.591515835906778,8.02
23,0.6783353090286255,0.7730963230133057,0.6122079491615295,0.6687018871307373,0.5204804539680481,0.7431837916374207,0.644682765007019,0.5618349769367621,0.6842105388641357,0.8065211176872253,0.6413043737411499,0.6796265840530396,0.5186813473701477,0.8398576378822327,0.6054053902626038,0.5382789554340499,8.6
24,0.6850961446762085,0.7786213755607605,0.6247762441635132,0.6767422556877136,0.5263952016830444,0.7683839797973633,0.6419612169265747,0.5607344608467358,0.7069377899169922,0.8017248511314392,0.6213291883468628,0.6911523938179016,0.5491803288459778,0.7153024673461914,0.7027027010917664,0.5532088130712509,8.67
25,0.672776460647583,0.768191397190094,0.6091170310974121,0.6638607978820801,0.51424241065979,0.7469190359115601,0.6343522071838379,0.5684926736240203,0.7476076483726501,0.8110416531562805,0.5902912616729736,0.7039614915847778,0.6495726704597473,0.5409252643585205,0.8522522449493408,0.5801897394870009,8.46
26,0.6819410920143127,0.7782502174377441,0.6221666932106018,0.6737762689590454,0.5235806703567505,0.7664907574653625,0.6380648016929626,0.5580581028300983,0.730861246585846,0.8089512586593628,0.6243739724159241,0.7073407173156738,0.5880503058433533,0.6654804348945618,0.7639639377593994,0.5570701930139746,8.46
27,0.67578125,0.7716225385665894,0.611870527267456,0.6667453646659851,0.5176506638526917,0.748021125793457,0.6382930278778076,0.563948951375026,0.7021530866622925,0.8069058060646057,0.628912091255188,0.6900804042816162,0.5410256385803223,0.7508896589279175,0.6774774789810181,0.540964815233435,8.53
28,0.6852464079856873,0.7782974243164062,0.6234046220779419,0.6765235662460327,0.5272119045257568,0.7625330090522766,0.645139217376709,0.5594747983492337,0.6770334839820862,0.8032124042510986,0.6260387897491455,0.6709141731262207,0.5124716758728027,0.8042704463005066,0.6126126050949097,0.5449152195027896,8.68
29,0.6799879670143127,0.777978241443634,0.6137105822563171,0.6702817678451538,0.5222222208976746,0.7440633177757263,0.6467366218566895,0.5592718743360959,0.7583732008934021,0.8071302771568298,0.5877550840377808,0.7084291577339172,0.6889952421188354,0.5124555230140686,0.8828828930854797,0.5814476587942669,8.57
30,0.6870492696762085,0.7802318334579468,0.6217541098594666,0.6774369478225708,0.5298669338226318,0.7521968483924866,0.6531963348388672,0.555728244380309,0.7248803973197937,0.8067904710769653,0.6140939593315125,0.7001696825027466,0.5809524059295654,0.6512455344200134,0.7621621489524841,0.5654590523668698,9.29
31,0.686598539352417,0.7835065722465515,0.6226483583450317,0.6773313879966736,0.5285626649856567,0.7574824094772339,0.6498631238937378,0.5550553907568638,0.7272727489471436,0.801814615726471,0.6161616444587708,0.7023293972015381,0.584664523601532,0.6512455344200134,0.7657657861709595,0.5644292075719152,8.63
32,0.6870492696762085,0.7729389071464539,0.6181485056877136,0.6765173077583313,0.5296889543533325,0.7420774698257446,0.6585310101509094,0.5636277683079243,0.6937798857688904,0.8043345808982849,0.6201780438423157,0.6818325519561768,0.5318065881729126,0.7437722682952881,0.6684684753417969,0.5465873437268394,7.07
33,0.6859976053237915,0.7796686291694641,0.6206896305084229,0.6764048337936401,0.5285934805870056,0.7516483664512634,0.6519059538841248,0.5579741035516446,0.6806219816207886,0.8012503385543823,0.6223479509353638,0.6728320121765137,0.5164319276809692,0.7829181551933289,0.6288288235664368,0.5460757315158844,8.11
34,0.6871995329856873,0.7823053598403931,0.6248648762702942,0.6783175468444824,0.5294656753540039,0.7621977925300598,0.6482537984848022,0.5544984185924897,0.6842105388641357,0.8028085231781006,0.6173912882804871,0.6742761135101318,0.5207824110984802,0.7580071091651917,0.6468468308448792,0.5432213715144566,8.55
35,0.6870492696762085,0.7898726463317871,0.6227132678031921,0.6776767373085022,0.5285977721214294,0.7576024532318115,0.6505584716796875,0.5448746449099138,0.7320573925971985,0.8061363697052002,0.6266666650772095,0.7088557481765747,0.5893417000770569,0.6690391302108765,0.7639639377593994,0.5529443366186959,8.26
36,0.6859976053237915,0.7860199809074402,0.6223346590995789,0.6768140196800232,0.5278970003128052,0.7579225301742554,0.6487226486206055,0.5494654149963305,0.7009569406509399,0.8086371421813965,0.6408045887947083,0.6923285126686096,0.5373494029045105,0.7935943007469177,0.6540540456771851,0.5379023051687649,8.29
37,0.6841946840286255,0.7880197763442993,0.6235673427581787,0.675784707069397,0.5259818434715271,0.7656112313270569,0.6419442892074585,0.5493297445086333,0.7368420958518982,0.8089512586593628,0.6140350699424744,0.7071990370750427,0.6055363416671753,0.6227757930755615,0.7945945858955383,0.5758415045482772,8.59
38,0.6900540590286255,0.7857691049575806,0.6267414689064026,0.6808723211288452,0.5316144824028015,0.7633318901062012,0.6521540880203247,0.5511565354581063,0.7057416439056396,0.8031419515609741,0.630630612373352,0.693048894405365,0.5454545617103577,0.7473309636116028,0.684684693813324,0.5427964659673827,8.51
39,0.6822415590286255,0.7799660563468933,0.6118553876876831,0.6714370250701904,0.5248740315437317,0.7333920001983643,0.65571528673172,0.5552047528326511,0.6985645890235901,0.8076367974281311,0.6304985284805298,0.6879765391349792,0.5361595749855042,0.7651245594024658,0.6648648381233215,0.5352372261030334,8.47
40,0.6790865659713745,0.7849878072738647,0.6182987689971924,0.6707357168197632,0.5204572677612305,0.7614436745643616,0.6364051103591919,0.5480340851040987,0.7440191507339478,0.8042448163032532,0.5427350401878357,0.6824970841407776,0.6791443824768066,0.4519572854042053,0.8918918967247009,0.5786526793880122,9.2
41,0.6896033883094788,0.7842066287994385,0.624226987361908,0.6799148321151733,0.5320930480957031,0.7549493908882141,0.65571528673172,0.5499695198467145,0.6818181872367859,0.8000962138175964,0.6284916400909424,0.67512446641922,0.517241358757019,0.8007117509841919,0.6216216087341309,0.5488653097833905,8.91
42,0.6829928159713745,0.780964732170105,0.6177536249160767,0.6734815239906311,0.5254237055778503,0.7494505643844604,0.648482084274292,0.5569918992427679,0.7380383014678955,0.8063158988952637,0.6123893857002258,0.7072787284851074,0.6091549396514893,0.6156583428382874,0.800000011920929,0.5961796077234405,8.76
43,0.6926081776618958,0.7888512015342712,0.6270506978034973,0.682807207107544,0.5358255505561829,0.7557117938995361,0.6598173379898071,0.5477543630852149,0.7428229451179504,0.807758629322052,0.6181172132492065,0.7121244668960571,0.6170212626457214,0.6192170977592468,0.8054053783416748,0.5595871806144714,7.94
44,0.6930589079856873,0.7875542640686035,0.627936601638794,0.6833584308624268,0.5359030365943909,0.7581354379653931,0.6592879891395569,0.5449463636256181,0.7320573925971985,0.8048732280731201,0.6097561120986938,0.7028744220733643,0.5972696542739868,0.6227757930755615,0.7873873710632324,0.5617557423455375,8.64
45,0.690354585647583,0.7826201915740967,0.6228728294372559,0.680112361907959,0.5333751440048218,0.7484608888626099,0.660200834274292,0.551431671071511,0.6913875341415405,0.80621337890625,0.632478654384613,0.6832495927810669,0.5273159146308899,0.790035605430603,0.6414414644241333,0.5499630974871772,8.58
46,0.6900540590286255,0.7849996089935303,0.6245678067207336,0.6803278923034668,0.5325884819030762,0.7549493908882141,0.6563997268676758,0.5506867843751724,0.7141148447990417,0.8093616962432861,0.6306027770042419,0.6987160444259644,0.5573770403862,0.725978672504425,0.708108127117157,0.541603796184063,8.18
47,0.688551664352417,0.7870191335678101,0.6238431930541992,0.6790540218353271,0.5313755869865417,0.755272388458252,0.6538812518119812,0.5487295595499185,0.7236841917037964,0.8090346455574036,0.6194398403167725,0.7012692093849182,0.5766870975494385,0.6690391302108765,0.7513513565063477,0.5489649240459714,8.5
