round,num_examples,loss,accuracy,auc,sensitivity,specificity,f1,f1_macro,precision
1,100,0.6808007955551147,0.6800000071525574,0.6458616256713867,0.27272728085517883,0.8805969953536987,0.36000001430511475,0.5733333826065063,0.529411792755127
2,100,0.5693475306034088,0.7300000190734863,0.8018996119499207,0.6666666865348816,0.7611940503120422,0.6197183132171631,0.7052080035209656,0.5789473652839661
3,100,0.5265314877033234,0.7400000095367432,0.8227046728134155,0.6363636255264282,0.7910447716712952,0.6176470518112183,0.7103387117385864,0.6000000238418579
4,100,0.5892941951751709,0.7200000286102295,0.8204432725906372,0.8484848737716675,0.6567164063453674,0.6666666865348816,0.7126436829566956,0.5490196347236633
5,100,0.5879638493061066,0.7099999785423279,0.7960199117660522,0.6363636255264282,0.746268630027771,0.591549277305603,0.6833715438842773,0.5526315569877625
6,100,0.6265014410018921,0.75,0.779737651348114,0.7272727489471436,0.7611940503120422,0.6575342416763306,0.730341911315918,0.6000000238418579
7,100,0.6278029680252075,0.8100000023841858,0.7770240306854248,0.6060606241226196,0.9104477763175964,0.6779661178588867,0.7716071605682373,0.7692307829856873
8,100,0.6324887275695801,0.7400000095367432,0.7792854309082031,0.6666666865348816,0.7761194109916687,0.6285714507102966,0.7142857313156128,0.5945945978164673
9,100,0.5795426368713379,0.75,0.8014472723007202,0.7272727489471436,0.7611940503120422,0.6575342416763306,0.730341911315918,0.6000000238418579
10,100,0.6952066123485565,0.75,0.7376752495765686,0.6060606241226196,0.8208954930305481,0.6153846383094788,0.7150996923446655,0.625
