round,num_examples,loss,accuracy,auc,sensitivity,specificity,f1,f1_macro,precision
1,42,0.7243727445602417,0.761904776096344,0.40312498807907104,0.0,1.0,0.0,0.4324324429035187,0.0
2,42,0.7000122666358948,0.7857142686843872,0.6468750238418579,0.10000000149011612,1.0,0.1818181872367859,0.529265284538269,1.0
3,42,0.7512065768241882,0.7857142686843872,0.6656249761581421,0.10000000149011612,1.0,0.1818181872367859,0.529265284538269,1.0
4,42,0.6599317193031311,0.8333333134651184,0.6906249523162842,0.30000001192092896,1.0,0.4615384638309479,0.681473433971405,1.0
5,42,0.7296996116638184,0.8333333134651184,0.7124999761581421,0.30000001192092896,1.0,0.4615384638309479,0.681473433971405,1.0
6,42,0.884045422077179,0.8095238208770752,0.6499999761581421,0.20000000298023224,1.0,0.3333333432674408,0.6111111044883728,1.0
7,42,0.7406185269355774,0.8333333134651184,0.703125,0.30000001192092896,1.0,0.4615384638309479,0.681473433971405,1.0
8,42,0.7131788730621338,0.8095238208770752,0.6500000357627869,0.30000001192092896,0.96875,0.4285714328289032,0.6571428775787354,0.75
9,42,0.7089368104934692,0.8333333134651184,0.6968749761581421,0.30000001192092896,1.0,0.4615384638309479,0.681473433971405,1.0
10,42,0.6617284417152405,0.8571428656578064,0.765625,0.4000000059604645,1.0,0.5714285969734192,0.7428571581840515,1.0
