round,num_examples,loss,accuracy,auc,sensitivity,specificity,f1,f1_macro,precision
1,474,0.6341337487101555,0.7067510485649109,0.757035493850708,0.4913793206214905,0.913223147392273,0.6212534308433533,0.6910053491592407,0.8444444537162781
2,474,0.49204015731811523,0.799578070640564,0.8506518602371216,0.7112069129943848,0.8842975497245789,0.7764706015586853,0.7974131107330322,0.8549222946166992
3,474,0.4833032824099064,0.7890295386314392,0.8562624454498291,0.642241358757019,0.9297520518302917,0.7487437129020691,0.7834627628326416,0.8975903391838074
4,474,0.42155005782842636,0.8312236070632935,0.8694250583648682,0.7844827771186829,0.8760330677032471,0.8198198080062866,0.8305448293685913,0.8584905862808228
5,474,0.4583330489695072,0.7932489514350891,0.8618908524513245,0.806034505367279,0.7809917330741882,0.7923728823661804,0.793245255947113,0.7791666388511658
6,474,0.4310334101319313,0.8270041942596436,0.8650791645050049,0.7284482717514038,0.9214876294136047,0.8047618865966797,0.8247294425964355,0.8989361524581909
7,474,0.51853983476758,0.7679324746131897,0.8589876294136047,0.5517241358757019,0.9752066135406494,0.6994535326957703,0.7552250623703003,0.9552238583564758
8,474,0.45089009031653404,0.8248944878578186,0.8663793206214905,0.75,0.8966942429542542,0.8074246048927307,0.8234415054321289,0.8743718862533569
9,474,0.4332047328352928,0.8248944878578186,0.8736284971237183,0.7413793206214905,0.9049586653709412,0.8056206107139587,0.8231557607650757,0.8820512890815735
10,474,0.4944811835885048,0.7932489514350891,0.8525755405426025,0.6767241358757019,0.9049586653709412,0.762135922908783,0.7896500825881958,0.8722222447395325
11,474,0.5090412124991417,0.7827004194259644,0.8697634935379028,0.625,0.93388432264328,0.7379134893417358,0.7761639356613159,0.9006211161613464
12,474,0.48320597037672997,0.797468364238739,0.8591122627258301,0.693965494632721,0.8966942429542542,0.7703348994255066,0.7946014404296875,0.8655914068222046
13,474,0.4875250421464443,0.7932489514350891,0.8628348112106323,0.75,0.8347107172012329,0.7802690863609314,0.7925249934196472,0.8130841255187988
14,474,0.44465881772339344,0.8059071898460388,0.8721680045127869,0.767241358757019,0.8429751992225647,0.7946428656578064,0.805321455001831,0.8240740895271301
15,474,0.5036476738750935,0.8248944878578186,0.8713486790657043,0.7198275923728943,0.9256198406219482,0.8009592294692993,0.8223252296447754,0.9027026891708374
16,474,0.4794518016278744,0.8291139006614685,0.8640637993812561,0.7413793206214905,0.913223147392273,0.8094117641448975,0.8272680044174194,0.8911917209625244
17,474,0.46448003500699997,0.8164557218551636,0.873771071434021,0.7931034564971924,0.8388429880142212,0.8087912201881409,0.8161603212356567,0.8251121044158936
18,474,0.5250445175915956,0.8185654282569885,0.8695675134658813,0.7370689511299133,0.8966942429542542,0.7990654110908508,0.816840410232544,0.8724489808082581
19,474,0.5152349676936865,0.7869198322296143,0.8534838557243347,0.7241379022598267,0.8471074104309082,0.768878698348999,0.7856135368347168,0.8195121884346008
20,474,0.5994633696973324,0.7721518874168396,0.8558527827262878,0.5948275923728943,0.942148745059967,0.71875,0.7636303305625916,0.9078947305679321
21,474,0.4945779163390398,0.7932489514350891,0.8683919906616211,0.6853448152542114,0.8966942429542542,0.7644230723381042,0.7901062965393066,0.864130437374115
22,474,0.5167701505124569,0.797468364238739,0.8589519262313843,0.6681034564971924,0.9214876294136047,0.7635468244552612,0.7932125329971313,0.8908045887947083
23,474,0.5392847843468189,0.7848101258277893,0.8614455461502075,0.7801724076271057,0.78925621509552,0.7801724076271057,0.7847143411636353,0.7801724076271057
24,474,0.461591437458992,0.8059071898460388,0.8680357933044434,0.7025862336158752,0.9049586653709412,0.779904305934906,0.8031597137451172,0.8763440847396851
25,474,0.4927832707762718,0.8122363090515137,0.8708322048187256,0.7241379022598267,0.8966942429542542,0.7905882596969604,0.8102080821990967,0.8704662919044495
26,474,0.5744412019848824,0.7848101258277893,0.8489954471588135,0.6681034564971924,0.8966942429542542,0.7524271607398987,0.7810643315315247,0.8611111044883728
27,474,0.5631265379488468,0.797468364238739,0.8730407357215881,0.6724137663841248,0.9173553586006165,0.7647058963775635,0.7934640645980835,0.8863636255264282
28,474,0.5043405871838331,0.8037974834442139,0.8748753070831299,0.7284482717514038,0.8760330677032471,0.7842227220535278,0.8021693825721741,0.8492462038993835
29,474,0.5046013072133064,0.8164557218551636,0.8679111003875732,0.7758620977401733,0.85537189245224,0.8053691387176514,0.8158582448959351,0.8372092843055725
30,474,0.5706155318766832,0.7827004194259644,0.8455222249031067,0.6637930870056152,0.8966942429542542,0.7493917346000671,0.7787927389144897,0.8603351712226868
