round,num_examples,loss,accuracy,auc,sensitivity,specificity,f1,f1_macro,precision
1,42,0.7136321663856506,0.761904776096344,0.421875,0.0,1.0,0.0,0.4324324429035187,0.0
2,42,0.655532717704773,0.7857142686843872,0.6875,0.4000000059604645,0.90625,0.47058823704719543,0.6681299209594727,0.5714285969734192
3,42,0.6724222898483276,0.8095238208770752,0.625,0.20000000298023224,1.0,0.3333333432674408,0.6111111044883728,1.0
4,42,0.7115334272384644,0.8333333134651184,0.637499988079071,0.30000001192092896,1.0,0.4615384638309479,0.681473433971405,1.0
5,42,0.5936970114707947,0.8571428656578064,0.7406250238418579,0.4000000059604645,1.0,0.5714285969734192,0.7428571581840515,1.0
6,42,0.7176050543785095,0.7857142686843872,0.7437499761581421,0.10000000149011612,1.0,0.1818181872367859,0.529265284538269,1.0
7,42,0.8395044207572937,0.761904776096344,0.6499999761581421,0.0,1.0,0.0,0.4324324429035187,0.0
8,42,0.6676817536354065,0.8333333134651184,0.7406250238418579,0.30000001192092896,1.0,0.4615384638309479,0.681473433971405,1.0
9,42,0.7211486101150513,0.8333333134651184,0.699999988079071,0.30000001192092896,1.0,0.4615384638309479,0.681473433971405,1.0
10,42,0.8267323970794678,0.8095238208770752,0.659375011920929,0.20000000298023224,1.0,0.3333333432674408,0.6111111044883728,1.0
11,42,0.7271114587783813,0.8333333134651184,0.690625011920929,0.30000001192092896,1.0,0.4615384638309479,0.681473433971405,1.0
12,42,0.7028840780258179,0.8333333134651184,0.753125011920929,0.30000001192092896,1.0,0.4615384638309479,0.681473433971405,1.0
13,42,0.7400438189506531,0.8333333134651184,0.78125,0.30000001192092896,1.0,0.4615384638309479,0.681473433971405,1.0
14,42,0.7543251514434814,0.8095238208770752,0.75,0.20000000298023224,1.0,0.3333333432674408,0.6111111044883728,1.0
15,42,1.0539957284927368,0.7857142686843872,0.574999988079071,0.10000000149011612,1.0,0.1818181872367859,0.529265284538269,1.0
16,42,0.8436858654022217,0.7857142686843872,0.721875011920929,0.10000000149011612,1.0,0.1818181872367859,0.529265284538269,1.0
17,42,0.8430224657058716,0.8095238208770752,0.6781250238418579,0.20000000298023224,1.0,0.3333333432674408,0.6111111044883728,1.0
18,42,0.9640251398086548,0.8095238208770752,0.768750011920929,0.20000000298023224,1.0,0.3333333432674408,0.6111111044883728,1.0
19,42,0.7654557824134827,0.8333333134651184,0.7562499642372131,0.30000001192092896,1.0,0.4615384638309479,0.681473433971405,1.0
20,42,0.8376123905181885,0.8095238208770752,0.75,0.20000000298023224,1.0,0.3333333432674408,0.6111111044883728,1.0
