round,num_examples,loss,accuracy,auc,sensitivity,specificity,f1,f1_macro,precision
1,474,0.6590456366539001,0.5991561412811279,0.7331504821777344,0.1982758641242981,0.9834710955619812,0.326241135597229,0.5204778909683228,0.9200000166893005
2,474,0.5614741742610931,0.7257384061813354,0.7768060564994812,0.5431034564971924,0.9008264541625977,0.6596858501434326,0.7150019407272339,0.8399999737739563
3,474,0.5488034635782242,0.7362869381904602,0.8014748096466064,0.5862069129943848,0.8801652789115906,0.6851385235786438,0.7291391491889954,0.8242424130439758
4,474,0.5134874992072582,0.7616033554077148,0.8114669322967529,0.6724137663841248,0.8471074104309082,0.7341176271438599,0.7590281963348389,0.8082901835441589
5,474,0.4757009893655777,0.7805907130241394,0.8452906608581543,0.6379310488700867,0.9173553586006165,0.7400000095367432,0.7751095294952393,0.8809523582458496
6,474,0.4919930174946785,0.7679324746131897,0.8340873718261719,0.7112069129943848,0.8223140239715576,0.75,0.7667322754859924,0.7932692170143127
7,474,0.5515878796577454,0.7151898741722107,0.8475348949432373,0.43103447556495667,0.9876033067703247,0.5970149040222168,0.688393235206604,0.9708737730979919
8,474,0.4486524537205696,0.8122363090515137,0.8656668663024902,0.6896551847457886,0.9297520518302917,0.7823960781097412,0.8086377382278442,0.903954803943634
9,474,0.4522283785045147,0.799578070640564,0.8650791049003601,0.7025862336158752,0.8925619721412659,0.7743467688560486,0.797040581703186,0.8624338507652283
10,474,0.47292817384004593,0.7784810066223145,0.85898756980896,0.5775862336158752,0.9710744023323059,0.7184986472129822,0.7679449319839478,0.9503546357154846
11,474,0.4757143594324589,0.7784810066223145,0.8784019947052002,0.5732758641242981,0.9752066135406494,0.7169811129570007,0.7675026655197144,0.9568345546722412
12,474,0.4268643371760845,0.8080168962478638,0.8725776672363281,0.6896551847457886,0.9214876294136047,0.7785888314247131,0.8045644760131836,0.8938547372817993
13,474,0.4357929192483425,0.8164557218551636,0.8681248426437378,0.75,0.8801652789115906,0.800000011920929,0.8152046799659729,0.8571428656578064
14,474,0.4459812566637993,0.8143460154533386,0.8725776672363281,0.6767241358757019,0.9462810158729553,0.7810945510864258,0.809961199760437,0.9235293865203857
15,474,0.46001720428466797,0.8037974834442139,0.8635650873184204,0.6379310488700867,0.9628099203109741,0.7609254717826843,0.7972784638404846,0.9426751732826233
16,474,0.43433699756860733,0.799578070640564,0.8651503324508667,0.7413793206214905,0.85537189245224,0.7835990786552429,0.7984793186187744,0.8309178948402405
17,474,0.4498334154486656,0.8080168962478638,0.8580614328384399,0.7112069129943848,0.9008264541625977,0.783847987651825,0.8055862188339233,0.8730158805847168
18,474,0.5022065415978432,0.7932489514350891,0.8560487031936646,0.6379310488700867,0.942148745059967,0.7512690424919128,0.787186861038208,0.9135802388191223
19,474,0.46250300109386444,0.8059071898460388,0.860323429107666,0.681034505367279,0.9256198406219482,0.7745097875595093,0.8020696640014648,0.8977272510528564
20,474,0.46036627143621445,0.7869198322296143,0.8583642244338989,0.6508620977401733,0.9173553586006165,0.7493796348571777,0.7820292711257935,0.8830409646034241
21,474,0.43746117129921913,0.8037974834442139,0.866325855255127,0.7198275923728943,0.8842975497245789,0.7822014093399048,0.8018492460250854,0.8564102649688721
22,474,0.49154185503721237,0.7721518874168396,0.868979811668396,0.5818965435028076,0.9545454382896423,0.7142857313156128,0.7624059915542603,0.9246575236320496
23,474,0.44690653681755066,0.797468364238739,0.8634048700332642,0.732758641242981,0.8595041036605835,0.7798165082931519,0.7961582541465759,0.8333333134651184
24,474,0.4494408145546913,0.8037974834442139,0.8568858504295349,0.6982758641242981,0.9049586653709412,0.7769784331321716,0.8009185791015625,0.8756756782531738
25,474,0.5169921014457941,0.7932489514350891,0.8570283651351929,0.6637930870056152,0.9173553586006165,0.7586206793785095,0.7889044284820557,0.8850574493408203
26,474,0.5136275701224804,0.7932489514350891,0.8593260049819946,0.7887930870056152,0.797520637512207,0.7887930870056152,0.7931568622589111,0.7887930870056152
27,474,0.48008169047534466,0.8016877770423889,0.8602700233459473,0.7241379022598267,0.8760330677032471,0.7813953757286072,0.7999640703201294,0.8484848737716675
28,474,0.45019711181521416,0.8037974834442139,0.8607509136199951,0.7456896305084229,0.8595041036605835,0.7881549000740051,0.8027218580245972,0.8357487916946411
29,474,0.45416597835719585,0.8080168962478638,0.8704224824905396,0.7456896305084229,0.8677685856819153,0.7917619943618774,0.8068399429321289,0.8439024686813354
30,474,0.5128452144563198,0.7679324746131897,0.8447563648223877,0.732758641242981,0.8016529083251953,0.7555555701255798,0.7673360109329224,0.7798165082931519
