round,num_examples,loss,accuracy,auc,sensitivity,specificity,f1,f1_macro,precision
1,220,0.71099454164505,0.9363636374473572,0.7133955955505371,0.0,0.9626168012619019,0.0,0.48356807231903076,0.0
2,220,0.6467151790857315,0.8954545259475708,0.8637071847915649,0.5,0.9065420627593994,0.2068965584039688,0.5754677653312683,0.1304347813129425
3,220,0.6116238385438919,0.9090909361839294,0.8800623416900635,0.5,0.9205607771873474,0.23076923191547394,0.591230034828186,0.15000000596046448
4,220,0.6023207381367683,0.8681818246841431,0.8590342998504639,0.6666666865348816,0.8738317489624023,0.21621622145175934,0.5721279978752136,0.12903225421905518
5,220,0.6171784102916718,0.8954545259475708,0.8123053312301636,0.5,0.9065420627593994,0.2068965584039688,0.5754677653312683,0.1304347813129425
6,220,0.6050805076956749,0.8772727251052856,0.855140209197998,0.5,0.8878504633903503,0.1818181872367859,0.5577395558357239,0.1111111119389534
7,220,0.6205436065793037,0.9545454382896423,0.8839564323425293,0.0,0.9813084006309509,0.0,0.4883720874786377,0.0
8,220,0.6081542521715164,0.8772727251052856,0.8481308221817017,0.5,0.8878504633903503,0.1818181872367859,0.5577395558357239,0.1111111119389534
9,220,0.6003848612308502,0.9090909361839294,0.8722741603851318,0.3333333432674408,0.9252336621284485,0.1666666716337204,0.5592948794364929,0.1111111119389534
10,220,0.6486975997686386,0.9409090876579285,0.8442367911338806,0.3333333432674408,0.9579439163208008,0.23529411852359772,0.6022806167602539,0.1818181872367859
11,220,0.6252385303378105,0.9227272868156433,0.8831775784492493,0.1666666716337204,0.9439252614974976,0.10526315867900848,0.5324415564537048,0.07692307978868484
12,220,0.6120654866099358,0.918181836605072,0.8839564323425293,0.3333333432674408,0.9345794320106506,0.1818181872367859,0.5693780183792114,0.125
13,220,0.6173658818006516,0.8636363744735718,0.84034264087677,0.3333333432674408,0.8785046935081482,0.11764705926179886,0.5218777060508728,0.0714285746216774
14,220,0.6386341005563736,0.9227272868156433,0.8629283308982849,0.3333333432674408,0.9392523169517517,0.190476194024086,0.574951708316803,0.13333334028720856
15,220,0.6813017949461937,0.918181836605072,0.8302180767059326,0.3333333432674408,0.9345794320106506,0.1818181872367859,0.5693780183792114,0.125
16,220,0.72629564255476,0.8999999761581421,0.7686916589736938,0.3333333432674408,0.9158878326416016,0.1538461595773697,0.5503530502319336,0.10000000149011612
17,220,0.6960759311914444,0.8909090757369995,0.8309968709945679,0.3333333432674408,0.9065420627593994,0.1428571492433548,0.5423023700714111,0.09090909361839294
18,220,0.7655116245150566,0.9045454263687134,0.7881619930267334,0.3333333432674408,0.9205607771873474,0.1599999964237213,0.5546987652778625,0.10526315867900848
19,220,0.7008731067180634,0.9409090876579285,0.8364485502243042,0.1666666716337204,0.9626168012619019,0.13333334028720856,0.5513725876808167,0.1111111119389534
20,220,0.7308989688754082,0.8727272748947144,0.7297507524490356,0.3333333432674408,0.8878504633903503,0.125,0.5281862616539001,0.07692307978868484
21,220,0.6953158229589462,0.8636363744735718,0.7593457698822021,0.3333333432674408,0.8785046935081482,0.11764705926179886,0.5218777060508728,0.0714285746216774
22,220,0.8024722337722778,0.949999988079071,0.7422118186950684,0.1666666716337204,0.9719626307487488,0.1538461595773697,0.5640425086021423,0.1428571492433548
23,220,0.7520010396838188,0.9363636374473572,0.7437694072723389,0.3333333432674408,0.9532710313796997,0.2222222238779068,0.5945234298706055,0.1666666716337204
24,220,0.7437877133488655,0.9136363863945007,0.7313084006309509,0.1666666716337204,0.9345794320106506,0.095238097012043,0.5249460339546204,0.06666667014360428
25,220,0.874784342944622,0.9454545378684998,0.7320871949195862,0.1666666716337204,0.9672897458076477,0.1428571492433548,0.5573440790176392,0.125
26,220,0.8110680133104324,0.8500000238418579,0.6884734630584717,0.3333333432674408,0.8644859790802002,0.10810811072587967,0.5131111145019531,0.06451612710952759
27,220,0.9174080193042755,0.8681818246841431,0.6526479721069336,0.1666666716337204,0.8878504633903503,0.06451612710952759,0.49680572748184204,0.03999999910593033
28,220,0.7748326286673546,0.8636363744735718,0.6853582859039307,0.3333333432674408,0.8785046935081482,0.11764705926179886,0.5218777060508728,0.0714285746216774
29,220,0.8728275522589684,0.9318181872367859,0.7157320380210876,0.0,0.9579439163208008,0.0,0.48235294222831726,0.0
30,220,0.8908262550830841,0.8863636255264282,0.5661994218826294,0.1666666716337204,0.9065420627593994,0.07407407462596893,0.506770670413971,0.0476190485060215
