round,num_examples,loss,accuracy,auc,sensitivity,specificity,f1,f1_macro,precision
1,100,0.7374355792999268,0.6700000166893005,0.547715961933136,0.0,1.0,0.0,0.401197612285614,0.0
2,100,1.0550898909568787,0.6899999976158142,0.6123926043510437,0.06060606241226196,1.0,0.11428571492433548,0.46320345997810364,1.0
3,100,1.2667365670204163,0.7300000190734863,0.7657168507575989,0.21212121844291687,0.9850746393203735,0.3414634168148041,0.58582603931427,0.875
4,100,1.7251753211021423,0.7300000190734863,0.7758932709693909,0.27272728085517883,0.9552238583564758,0.4000000059604645,0.6129032373428345,0.75
5,100,2.2937783002853394,0.7300000190734863,0.7168701887130737,0.3333333432674408,0.9253731369972229,0.44897958636283875,0.6350858211517334,0.6875
6,100,3.3879246711730957,0.75,0.6702849864959717,0.24242424964904785,1.0,0.39024388790130615,0.6165056228637695,1.0
7,100,4.41827392578125,0.6700000166893005,0.5911352634429932,0.0,1.0,0.0,0.401197612285614,0.0
8,100,3.2585407495498657,0.6700000166893005,0.4898236393928528,0.0,1.0,0.0,0.401197612285614,0.0
9,100,1.058722198009491,0.5699999928474426,0.47127997875213623,0.1818181872367859,0.7611940503120422,0.2181818187236786,0.46081507205963135,0.27272728085517883
10,100,0.9068612456321716,0.47999998927116394,0.5110809803009033,0.5454545617103577,0.447761207818985,0.40909090638160706,0.47240257263183594,0.3272727131843567
11,100,1.3874659538269043,0.6700000166893005,0.5300769209861755,0.0,1.0,0.0,0.401197612285614,0.0
12,100,2.9432172775268555,0.6700000166893005,0.5409317016601562,0.0,1.0,0.0,0.401197612285614,0.0
13,100,4.1311492919921875,0.6700000166893005,0.4767073392868042,0.0,1.0,0.0,0.401197612285614,0.0
14,100,7.463827133178711,0.6700000166893005,0.4753504991531372,0.0,1.0,0.0,0.401197612285614,0.0
15,100,12.56319522857666,0.6700000166893005,0.5671641826629639,0.0,1.0,0.0,0.401197612285614,0.0
16,100,19.993078231811523,0.6700000166893005,0.6598824262619019,0.0,1.0,0.0,0.401197612285614,0.0
17,100,31.562702178955078,0.6700000166893005,0.6992311477661133,0.0,1.0,0.0,0.401197612285614,0.0
18,100,47.70946502685547,0.6700000166893005,0.6644052863121033,0.0,1.0,0.0,0.401197612285614,0.0
19,100,106.98228454589844,0.6700000166893005,0.5,0.0,1.0,0.0,0.401197612285614,0.0
20,100,116.04978942871094,0.6700000166893005,0.5,0.0,1.0,0.0,0.401197612285614,0.0
