round,num_examples,loss,accuracy,auc,sensitivity,specificity,f1,f1_macro,precision
1,474,0.7224642187356949,0.5126582384109497,0.6317504644393921,0.004310344811528921,1.0,0.008583690971136093,0.3427533805370331,1.0
2,474,1.0326841250061989,0.5400843620300293,0.6938230395317078,0.06034482643008232,1.0,0.11382114142179489,0.4016399085521698,1.0
3,474,1.3499868735671043,0.5780590772628784,0.7013572454452515,0.13793103396892548,1.0,0.24242424964904785,0.47501328587532043,1.0
4,474,1.8395294845104218,0.6033755540847778,0.6882124543190002,0.19396552443504333,0.9958677887916565,0.32374101877212524,0.5215719938278198,0.97826087474823
5,474,2.669033795595169,0.5822784900665283,0.7163900136947632,0.1551724076271057,0.9917355179786682,0.2666666805744171,0.48731565475463867,0.9473684430122375
6,474,4.325726181268692,0.5253164768218994,0.7390638589859009,0.03017241321504116,1.0,0.05857740715146065,0.37061452865600586,1.0
7,474,5.556975156068802,0.5105485320091248,0.6448596715927124,0.0,1.0,0.0,0.33798882365226746,0.0
8,474,4.13317146897316,0.5105485320091248,0.5541642904281616,0.0,1.0,0.0,0.33798882365226746,0.0
9,474,0.9995841532945633,0.554852306842804,0.6109468936920166,0.23275862634181976,0.8636363744735718,0.33855798840522766,0.5015524625778198,0.6206896305084229
10,474,0.8932759761810303,0.5717299580574036,0.6081326603889465,0.625,0.5206611752510071,0.5882353186607361,0.5710407495498657,0.5555555820465088
11,474,1.5749353244900703,0.5105485320091248,0.583303689956665,0.0,1.0,0.0,0.33798882365226746,0.0
12,474,3.3988287150859833,0.5105485320091248,0.540930449962616,0.0,1.0,0.0,0.33798882365226746,0.0
13,474,4.445128470659256,0.5105485320091248,0.4785551428794861,0.0,1.0,0.0,0.33798882365226746,0.0
14,474,8.252851009368896,0.5105485320091248,0.5000890493392944,0.0,1.0,0.0,0.33798882365226746,0.0
15,474,14.166658997535706,0.5105485320091248,0.5385437607765198,0.0,1.0,0.0,0.33798882365226746,0.0
16,474,22.10936427116394,0.5105485320091248,0.5875961780548096,0.0,1.0,0.0,0.33798882365226746,0.0
17,474,33.77038860321045,0.5105485320091248,0.5997969508171082,0.0,1.0,0.0,0.33798882365226746,0.0
18,474,52.674132347106934,0.5105485320091248,0.5899028182029724,0.0,1.0,0.0,0.33798882365226746,0.0
19,474,123.84073734283447,0.5105485320091248,0.5,0.0,1.0,0.0,0.33798882365226746,0.0
20,474,135.2231044769287,0.5105485320091248,0.5,0.0,1.0,0.0,0.33798882365226746,0.0
