round,num_examples,loss,accuracy,auc,sensitivity,specificity,f1,f1_macro,precision
1,220,0.6731696277856827,0.9727272987365723,0.7297507524490356,0.0,1.0,0.0,0.4930875599384308,0.0
2,220,0.8725282251834869,0.9727272987365723,0.5973520278930664,0.0,1.0,0.0,0.4930875599384308,0.0
3,220,1.2931111454963684,0.9727272987365723,0.4361370801925659,0.0,1.0,0.0,0.4930875599384308,0.0
4,220,1.8274580389261246,0.9590908885002136,0.382398784160614,0.0,0.985981285572052,0.0,0.4895591735839844,0.0
5,220,2.679210990667343,0.949999988079071,0.3964174687862396,0.0,0.9766355156898499,0.0,0.4871794879436493,0.0
6,220,3.53097602725029,0.9727272987365723,0.6082554459571838,0.0,1.0,0.0,0.4930875599384308,0.0
7,220,3.6999135613441467,0.9727272987365723,0.5685358047485352,0.0,1.0,0.0,0.4930875599384308,0.0
8,220,2.4986944794654846,0.9727272987365723,0.5841121673583984,0.0,1.0,0.0,0.4930875599384308,0.0
9,220,0.9243476092815399,0.8545454740524292,0.5381619930267334,0.1666666716337204,0.8738317489624023,0.05882352963089943,0.49000290036201477,0.0357142873108387
10,220,0.8402715772390366,0.7181817889213562,0.6168224215507507,0.3333333432674408,0.7289719581604004,0.06060606241226196,0.4474153220653534,0.03333333507180214
11,220,1.2467450350522995,0.9727272987365723,0.6923676133155823,0.0,1.0,0.0,0.4930875599384308,0.0
12,220,2.1178957372903824,0.9727272987365723,0.6300623416900635,0.0,1.0,0.0,0.4930875599384308,0.0
13,220,2.751921832561493,0.9727272987365723,0.5358255505561829,0.0,1.0,0.0,0.4930875599384308,0.0
14,220,5.0991920828819275,0.9727272987365723,0.517912745475769,0.0,1.0,0.0,0.4930875599384308,0.0
15,220,9.258743941783905,0.9727272987365723,0.4828660488128662,0.0,1.0,0.0,0.4930875599384308,0.0
16,220,14.563093543052673,0.9727272987365723,0.5241433382034302,0.0,1.0,0.0,0.4930875599384308,0.0
17,220,22.651644229888916,0.9727272987365723,0.5560747981071472,0.0,1.0,0.0,0.4930875599384308,0.0
18,220,34.03494930267334,0.9727272987365723,0.5369937419891357,0.0,1.0,0.0,0.4930875599384308,0.0
19,220,74.55367279052734,0.9727272987365723,0.5,0.0,1.0,0.0,0.4930875599384308,0.0
20,220,80.29359436035156,0.9727272987365723,0.5,0.0,1.0,0.0,0.4930875599384308,0.0
