round,num_examples,loss,accuracy,auc,sensitivity,specificity,f1,f1_macro,precision
1,42,0.6924831867218018,0.5952380895614624,0.640625,0.699999988079071,0.5625,0.4516128897666931,0.5654290914535522,0.3333333432674408
2,42,0.6927129030227661,0.6666666865348816,0.6031249761581421,0.4000000059604645,0.75,0.3636363744735718,0.5689149498939514,0.3333333432674408
3,42,0.6931489706039429,0.6666666865348816,0.574999988079071,0.20000000298023224,0.8125,0.2222222238779068,0.505050539970398,0.25
4,42,0.6941046714782715,0.6904761791229248,0.5687500238418579,0.10000000149011612,0.875,0.13333334028720856,0.4724637567996979,0.20000000298023224
5,42,0.6958085894584656,0.761904776096344,0.5562499761581421,0.10000000149011612,0.96875,0.1666666716337204,0.5138888955116272,0.5
6,42,0.6983731389045715,0.761904776096344,0.53125,0.0,1.0,0.0,0.4324324429035187,0.0
7,42,0.7021250128746033,0.761904776096344,0.5093750357627869,0.0,1.0,0.0,0.4324324429035187,0.0
8,42,0.7067437171936035,0.761904776096344,0.49687498807907104,0.0,1.0,0.0,0.4324324429035187,0.0
9,42,0.7132445573806763,0.761904776096344,0.48750001192092896,0.0,1.0,0.0,0.4324324429035187,0.0
10,42,0.7221883535385132,0.761904776096344,0.46562498807907104,0.0,1.0,0.0,0.4324324429035187,0.0
11,42,0.7321869730949402,0.761904776096344,0.4625000059604645,0.0,1.0,0.0,0.4324324429035187,0.0
12,42,0.7433009743690491,0.761904776096344,0.46562501788139343,0.0,1.0,0.0,0.4324324429035187,0.0
13,42,0.7563613057136536,0.761904776096344,0.4624999761581421,0.0,1.0,0.0,0.4324324429035187,0.0
14,42,0.772671639919281,0.761904776096344,0.4624999761581421,0.0,1.0,0.0,0.4324324429035187,0.0
15,42,0.7918456196784973,0.761904776096344,0.4593749940395355,0.0,1.0,0.0,0.4324324429035187,0.0
16,42,0.8144438862800598,0.761904776096344,0.453125,0.0,1.0,0.0,0.4324324429035187,0.0
17,42,0.8400101661682129,0.761904776096344,0.44999998807907104,0.0,1.0,0.0,0.4324324429035187,0.0
18,42,0.8688146471977234,0.761904776096344,0.44999998807907104,0.0,1.0,0.0,0.4324324429035187,0.0
19,42,0.9007670879364014,0.761904776096344,0.4468749761581421,0.0,1.0,0.0,0.4324324429035187,0.0
20,42,0.9361238479614258,0.761904776096344,0.44999998807907104,0.0,1.0,0.0,0.4324324429035187,0.0
