round,num_examples,loss,accuracy,auc,sensitivity,specificity,f1,f1_macro,precision
1,100,0.6904456913471222,0.5400000214576721,0.5992763638496399,0.6060606241226196,0.5074626803398132,0.4651162922382355,0.5308037400245667,0.37735849618911743
2,100,0.6901084780693054,0.6000000238418579,0.6142017245292664,0.4848484992980957,0.6567164063453674,0.4444444477558136,0.5659722089767456,0.41025641560554504
3,100,0.6896204948425293,0.6399999856948853,0.6282225251197815,0.27272728085517883,0.8208954930305481,0.3333333432674408,0.543379008769989,0.4285714328289032
4,100,0.6891835629940033,0.6399999856948853,0.6359114050865173,0.06060606241226196,0.9253731369972229,0.10000000149011612,0.4375,0.2857142984867096
5,100,0.6890786588191986,0.6600000262260437,0.6390773057937622,0.0,0.9850746393203735,0.0,0.39759036898612976,0.0
6,100,0.68946772813797,0.6700000166893005,0.6408864855766296,0.0,1.0,0.0,0.401197612285614,0.0
7,100,0.6905673146247864,0.6700000166893005,0.6381728053092957,0.0,1.0,0.0,0.401197612285614,0.0
8,100,0.6929969191551208,0.6700000166893005,0.6345545053482056,0.0,1.0,0.0,0.401197612285614,0.0
9,100,0.6968675255775452,0.6700000166893005,0.6200814247131348,0.0,1.0,0.0,0.401197612285614,0.0
10,100,0.7027939856052399,0.6700000166893005,0.6160109043121338,0.0,1.0,0.0,0.401197612285614,0.0
11,100,0.7112512290477753,0.6700000166893005,0.608322024345398,0.0,1.0,0.0,0.401197612285614,0.0
12,100,0.7213923335075378,0.6700000166893005,0.6037992238998413,0.0,1.0,0.0,0.401197612285614,0.0
13,100,0.7341926991939545,0.6700000166893005,0.5961103439331055,0.0,1.0,0.0,0.401197612285614,0.0
14,100,0.7499608397483826,0.6700000166893005,0.5929443836212158,0.0,1.0,0.0,0.401197612285614,0.0
15,100,0.7697024345397949,0.6700000166893005,0.5947535037994385,0.0,1.0,0.0,0.401197612285614,0.0
16,100,0.7931975424289703,0.6700000166893005,0.5970149040222168,0.0,1.0,0.0,0.401197612285614,0.0
17,100,0.8213178813457489,0.6700000166893005,0.6033468842506409,0.0,1.0,0.0,0.401197612285614,0.0
18,100,0.8539291620254517,0.6700000166893005,0.6209859848022461,0.0,1.0,0.0,0.401197612285614,0.0
19,100,0.8912451863288879,0.6800000071525574,0.6336499452590942,0.03030303120613098,1.0,0.05882352963089943,0.4330262243747711,1.0
20,100,0.92952761054039,0.6800000071525574,0.6341022253036499,0.03030303120613098,1.0,0.05882352963089943,0.4330262243747711,1.0
21,100,0.9679014384746552,0.6800000071525574,0.6395296454429626,0.03030303120613098,1.0,0.05882352963089943,0.4330262243747711,1.0
22,100,1.0056215524673462,0.6800000071525574,0.6485753059387207,0.03030303120613098,1.0,0.05882352963089943,0.4330262243747711,1.0
23,100,1.0429838299751282,0.6800000071525574,0.6580733060836792,0.03030303120613098,1.0,0.05882352963089943,0.4330262243747711,1.0
24,100,1.0751206278800964,0.6899999976158142,0.6671189665794373,0.06060606241226196,1.0,0.11428571492433548,0.46320345997810364,1.0
25,100,1.106529712677002,0.6899999976158142,0.6779738068580627,0.06060606241226196,1.0,0.11428571492433548,0.46320345997810364,1.0
26,100,1.1357559561729431,0.6899999976158142,0.6829488277435303,0.06060606241226196,1.0,0.11428571492433548,0.46320345997810364,1.0
27,100,1.1639620661735535,0.6899999976158142,0.6906377077102661,0.06060606241226196,1.0,0.11428571492433548,0.46320345997810364,1.0
28,100,1.190134584903717,0.6899999976158142,0.7019448280334473,0.06060606241226196,1.0,0.11428571492433548,0.46320345997810364,1.0
29,100,1.2088252305984497,0.6899999976158142,0.7137042284011841,0.06060606241226196,1.0,0.11428571492433548,0.46320345997810364,1.0
30,100,1.224316120147705,0.6899999976158142,0.7268204689025879,0.06060606241226196,1.0,0.11428571492433548,0.46320345997810364,1.0
