round,num_examples,loss,accuracy,auc,sensitivity,specificity,f1,f1_macro,precision
1,474,0.6928421407938004,0.5063291192054749,0.4901147186756134,0.2844827473163605,0.7190082669258118,0.3606557250022888,0.4792969226837158,0.49253731966018677
2,474,0.6923230215907097,0.5147679448127747,0.4983435273170471,0.1982758641242981,0.8181818127632141,0.2857142984867096,0.45915108919143677,0.5111111402511597
3,474,0.6918331831693649,0.5147679448127747,0.5085494518280029,0.11637931317090988,0.8966942429542542,0.19014084339141846,0.4218776524066925,0.5192307829856873
4,474,0.6914042085409164,0.5189873576164246,0.5206611752510071,0.06034482643008232,0.9586777091026306,0.109375,0.3899476230144501,0.5833333134651184
5,474,0.6914620921015739,0.5168776512145996,0.5303326845169067,0.021551724523305893,0.9917355179786682,0.04184100404381752,0.35942545533180237,0.7142857313156128
6,474,0.6918090656399727,0.5147679448127747,0.5403605103492737,0.008620689623057842,1.0,0.017094017937779427,0.3474825918674469,1.0
7,474,0.6927497833967209,0.5147679448127747,0.5506911277770996,0.008620689623057842,1.0,0.017094017937779427,0.3474825918674469,1.0
8,474,0.6946420297026634,0.5126582384109497,0.5602379441261292,0.004310344811528921,1.0,0.008583690971136093,0.3427533805370331,1.0
9,474,0.6975649818778038,0.5126582384109497,0.5697135925292969,0.004310344811528921,1.0,0.008583690971136093,0.3427533805370331,1.0
10,474,0.7018941715359688,0.5126582384109497,0.578815221786499,0.004310344811528921,1.0,0.008583690971136093,0.3427533805370331,1.0
11,474,0.7075006887316704,0.5126582384109497,0.5887717008590698,0.004310344811528921,1.0,0.008583690971136093,0.3427533805370331,1.0
12,474,0.7140515893697739,0.5126582384109497,0.5984789133071899,0.004310344811528921,1.0,0.008583690971136093,0.3427533805370331,1.0
13,474,0.7220375686883926,0.5126582384109497,0.6090588569641113,0.004310344811528921,1.0,0.008583690971136093,0.3427533805370331,1.0
14,474,0.7320582270622253,0.5126582384109497,0.6184453964233398,0.004310344811528921,1.0,0.008583690971136093,0.3427533805370331,1.0
15,474,0.7448390945792198,0.5126582384109497,0.6278320550918579,0.004310344811528921,1.0,0.008583690971136093,0.3427533805370331,1.0
16,474,0.7606184408068657,0.5147679448127747,0.6386791467666626,0.008620689623057842,1.0,0.017094017937779427,0.3474825918674469,1.0
17,474,0.780802495777607,0.5168776512145996,0.6491611003875732,0.01293103490024805,1.0,0.025531914085149765,0.35217687487602234,1.0
18,474,0.8059868365526199,0.5168776512145996,0.6583071947097778,0.01293103490024805,1.0,0.025531914085149765,0.35217687487602234,1.0
19,474,0.8364290446043015,0.5168776512145996,0.6660016775131226,0.01293103490024805,1.0,0.025531914085149765,0.35217687487602234,1.0
20,474,0.8689732551574707,0.5168776512145996,0.6723959445953369,0.01293103490024805,1.0,0.025531914085149765,0.35217687487602234,1.0
21,474,0.9039318859577179,0.5189873576164246,0.6784518361091614,0.017241379246115685,1.0,0.033898305147886276,0.35683679580688477,1.0
22,474,0.9404577165842056,0.5210970640182495,0.6845254898071289,0.021551724523305893,1.0,0.04219409450888634,0.36146271228790283,1.0
23,474,0.9798744320869446,0.5210970640182495,0.6887289881706238,0.021551724523305893,1.0,0.04219409450888634,0.36146271228790283,1.0
24,474,1.017549492418766,0.5232067704200745,0.6940367221832275,0.0258620698004961,1.0,0.05042016878724098,0.3660551607608795,1.0
25,474,1.0554945841431618,0.5253164768218994,0.6992377042770386,0.03017241321504116,1.0,0.05857740715146065,0.37061452865600586,1.0
26,474,1.0942626744508743,0.5316455960273743,0.7023903131484985,0.043103449046611786,1.0,0.08264462649822235,0.38409852981567383,1.0
27,474,1.1320617944002151,0.5316455960273743,0.7077871561050415,0.043103449046611786,1.0,0.08264462649822235,0.38409852981567383,1.0
28,474,1.1704613342881203,0.5358649492263794,0.7122933864593506,0.0517241396009922,1.0,0.09836065769195557,0.3929303288459778,1.0
29,474,1.2009462416172028,0.5358649492263794,0.7181711196899414,0.0517241396009922,1.0,0.09836065769195557,0.3929303288459778,1.0
30,474,1.2291572019457817,0.5379746556282043,0.7246900796890259,0.05603448301553726,1.0,0.1061224490404129,0.39730018377304077,1.0
