round,num_examples,loss,accuracy,auc,sensitivity,specificity,f1,f1_macro,precision
1,220,0.7588098496198654,0.5772727131843567,0.43457943201065063,0.3333333432674408,0.5841121673583984,0.04123711213469505,0.38505005836486816,0.021978022530674934
2,220,0.755517765879631,0.6590909361839294,0.44859814643859863,0.3333333432674408,0.6682242751121521,0.050632912665605545,0.4214383363723755,0.027397260069847107
3,220,0.7509523630142212,0.7954545617103577,0.46261683106422424,0.1666666716337204,0.8130841255187988,0.042553190141916275,0.46402469277381897,0.024390242993831635
4,220,0.7451397180557251,0.8954545259475708,0.4704049825668335,0.0,0.9205607771873474,0.0,0.4724220633506775,0.0
5,220,0.7384516298770905,0.949999988079071,0.4828660488128662,0.0,0.9766355156898499,0.0,0.4871794879436493,0.0
6,220,0.731127917766571,0.9681817889213562,0.49766355752944946,0.0,0.9953271150588989,0.0,0.49191686511039734,0.0
7,220,0.7236210405826569,0.9727272987365723,0.517912745475769,0.0,1.0,0.0,0.4930875599384308,0.0
8,220,0.7158558964729309,0.9727272987365723,0.545950174331665,0.0,1.0,0.0,0.4930875599384308,0.0
9,220,0.7078714817762375,0.9727272987365723,0.5747663974761963,0.0,1.0,0.0,0.4930875599384308,0.0
10,220,0.6998318284749985,0.9727272987365723,0.6098130941390991,0.0,1.0,0.0,0.4930875599384308,0.0
11,220,0.6919648200273514,0.9727272987365723,0.6370716691017151,0.0,1.0,0.0,0.4930875599384308,0.0
12,220,0.6856879442930222,0.9727272987365723,0.6604361534118652,0.0,1.0,0.0,0.4930875599384308,0.0
13,220,0.6803369671106339,0.9727272987365723,0.6752336621284485,0.0,1.0,0.0,0.4930875599384308,0.0
14,220,0.6760127544403076,0.9727272987365723,0.6845794320106506,0.0,1.0,0.0,0.4930875599384308,0.0
15,220,0.6727062910795212,0.9727272987365723,0.6978193521499634,0.0,1.0,0.0,0.4930875599384308,0.0
16,220,0.6714125424623489,0.9727272987365723,0.7009345889091492,0.0,1.0,0.0,0.4930875599384308,0.0
17,220,0.6727952510118484,0.9727272987365723,0.7056074738502502,0.0,1.0,0.0,0.4930875599384308,0.0
18,220,0.6772093176841736,0.9727272987365723,0.704049825668335,0.0,1.0,0.0,0.4930875599384308,0.0
19,220,0.6846661865711212,0.9727272987365723,0.705607533454895,0.0,1.0,0.0,0.4930875599384308,0.0
20,220,0.6953407600522041,0.9727272987365723,0.6993769407272339,0.0,1.0,0.0,0.4930875599384308,0.0
21,220,0.7087711319327354,0.9727272987365723,0.6900311708450317,0.0,1.0,0.0,0.4930875599384308,0.0
22,220,0.7239633724093437,0.9727272987365723,0.692367672920227,0.0,1.0,0.0,0.4930875599384308,0.0
23,220,0.7410985752940178,0.9727272987365723,0.704049825668335,0.0,1.0,0.0,0.4930875599384308,0.0
24,220,0.7599449902772903,0.9727272987365723,0.7056074738502502,0.0,1.0,0.0,0.4930875599384308,0.0
25,220,0.7815654501318932,0.9727272987365723,0.7079439163208008,0.0,1.0,0.0,0.4930875599384308,0.0
26,220,0.8052030950784683,0.9727272987365723,0.704828679561615,0.0,1.0,0.0,0.4930875599384308,0.0
27,220,0.8304551094770432,0.9727272987365723,0.6978193521499634,0.0,1.0,0.0,0.4930875599384308,0.0
28,220,0.8565018996596336,0.9727272987365723,0.6884735226631165,0.0,1.0,0.0,0.4930875599384308,0.0
29,220,0.8817175403237343,0.9727272987365723,0.6806854009628296,0.0,1.0,0.0,0.4930875599384308,0.0
30,220,0.9070015251636505,0.9727272987365723,0.6752336621284485,0.0,1.0,0.0,0.4930875599384308,0.0
