round,num_examples,loss,accuracy,auc,sensitivity,specificity,f1,f1_macro,precision
1,220,0.7356404066085815,0.75,0.7445482611656189,0.5,0.7570093274116516,0.09836065769195557,0.47662097215652466,0.05454545468091965
2,220,0.642388254404068,0.8909090757369995,0.8052959442138672,0.0,0.9158878326416016,0.0,0.4711538553237915,0.0
3,220,0.6175069957971573,0.8363636136054993,0.8169782161712646,0.3333333432674408,0.8504672646522522,0.10000000149011612,0.5049999952316284,0.05882352963089943
4,220,0.6252524256706238,0.8727272748947144,0.8247663974761963,0.1666666716337204,0.8925233483314514,0.06666667014360428,0.49918699264526367,0.0416666679084301
5,220,0.6713219955563545,0.8727272748947144,0.7601246237754822,0.1666666716337204,0.8925233483314514,0.06666667014360428,0.49918699264526367,0.0416666679084301
6,220,0.6872682943940163,0.918181836605072,0.7640186548233032,0.1666666716337204,0.9392523169517517,0.10000000149011612,0.5285714268684387,0.0714285746216774
7,220,0.7192675918340683,0.9590908885002136,0.8559190034866333,0.0,0.985981285572052,0.0,0.4895591735839844,0.0
8,220,0.6999788209795952,0.8954545259475708,0.7990654706954956,0.1666666716337204,0.9158878326416016,0.07999999821186066,0.5122891664505005,0.05263157933950424
9,220,0.7590320110321045,0.9227272868156433,0.7546728849411011,0.1666666716337204,0.9439252614974976,0.10526315867900848,0.5324415564537048,0.07692307978868484
10,220,0.7685201987624168,0.9409090876579285,0.7686915397644043,0.1666666716337204,0.9626168012619019,0.13333334028720856,0.5513725876808167,0.1111111119389534
11,220,0.9910102635622025,0.9636363387107849,0.7102803587913513,0.0,0.9906542301177979,0.0,0.49074074625968933,0.0
12,220,0.8054977282881737,0.8772727251052856,0.7126168012619019,0.1666666716337204,0.8971962332725525,0.06896551698446274,0.5016360282897949,0.043478261679410934
13,220,0.7520995363593102,0.8818181753158569,0.7468847036361694,0.1666666716337204,0.9018691778182983,0.0714285746216774,0.5041608810424805,0.04545454680919647
14,220,0.7931037545204163,0.8545454740524292,0.7757009267807007,0.5,0.8644859790802002,0.15789473056793213,0.539146363735199,0.09375
15,220,0.8741647303104401,0.8909090757369995,0.7242990732192993,0.1666666716337204,0.9112149477005005,0.07692307978868484,0.5094760656356812,0.05000000074505806
16,220,0.9469322562217712,0.8954545259475708,0.6635514497756958,0.3333333432674408,0.9112149477005005,0.14814814925193787,0.5462290644645691,0.095238097012043
17,220,0.8463500291109085,0.8454545736312866,0.6962616443634033,0.1666666716337204,0.8644859790802002,0.0555555559694767,0.4856985807418823,0.03333333507180214
18,220,0.9718632698059082,0.8999999761581421,0.6939252614974976,0.0,0.9252336621284485,0.0,0.4736842215061188,0.0
19,220,1.211381509900093,0.9272727370262146,0.6534268260002136,0.0,0.9532710313796997,0.0,0.4811320900917053,0.0
20,220,1.1794711351394653,0.9409090876579285,0.7422118186950684,0.0,0.9672897458076477,0.0,0.4847775101661682,0.0
21,220,0.9789149314165115,0.8954545259475708,0.6799066066741943,0.0,0.9205607771873474,0.0,0.4724220633506775,0.0
22,220,1.0481368005275726,0.949999988079071,0.6518691778182983,0.1666666716337204,0.9719626307487488,0.1538461595773697,0.5640425086021423,0.1428571492433548
23,220,0.8792211413383484,0.8727272748947144,0.6939252614974976,0.1666666716337204,0.8925233483314514,0.06666667014360428,0.49918699264526367,0.0416666679084301
24,220,0.7667687982320786,0.8999999761581421,0.777258574962616,0.1666666716337204,0.9205607771873474,0.0833333358168602,0.5152243375778198,0.0555555559694767
25,220,1.0221582502126694,0.9272727370262146,0.7274143099784851,0.1666666716337204,0.9485981464385986,0.1111111119389534,0.5365982055664062,0.0833333358168602
26,220,0.8392212688922882,0.8999999761581421,0.791277289390564,0.0,0.9252336621284485,0.0,0.4736842215061188,0.0
27,220,1.0158000439405441,0.8818181753158569,0.6495327353477478,0.0,0.9065420627593994,0.0,0.46859902143478394,0.0
28,220,0.9967651069164276,0.9045454263687134,0.763239860534668,0.0,0.9299065470695496,0.0,0.47494032979011536,0.0
29,220,1.2088916301727295,0.9318181872367859,0.6822429895401001,0.0,0.9579439163208008,0.0,0.48235294222831726,0.0
30,220,1.162959262728691,0.918181836605072,0.672897219657898,0.0,0.9439252614974976,0.0,0.47867298126220703,0.0
