round,num_examples,loss,accuracy,auc,sensitivity,specificity,f1,f1_macro,precision
1,100,0.6861045956611633,0.6700000166893005,0.6530982255935669,0.03030303120613098,0.9850746393203735,0.05714285746216774,0.4285714328289032,0.5
2,100,0.6465259194374084,0.699999988079071,0.7164179086685181,0.6666666865348816,0.7164179086685181,0.5945945978164673,0.678249716758728,0.5365853905677795
3,100,0.612756073474884,0.699999988079071,0.7480777502059937,0.5757575631141663,0.7611940503120422,0.5588235259056091,0.6657754182815552,0.5428571701049805
4,100,0.6318560242652893,0.6600000262260437,0.7349616289138794,0.7272727489471436,0.6268656849861145,0.5853658318519592,0.6486151218414307,0.4897959232330322
5,100,0.5985467731952667,0.699999988079071,0.7548620700836182,0.6363636255264282,0.7313432693481445,0.5833333134651184,0.6744791269302368,0.5384615659713745
6,100,0.5817559063434601,0.7200000286102295,0.7824513912200928,0.6363636255264282,0.7611940503120422,0.6000000238418579,0.692307710647583,0.5675675868988037
7,100,0.5836184322834015,0.75,0.7829036712646484,0.4545454680919647,0.89552241563797,0.5454545617103577,0.6865203976631165,0.6818181872367859
8,100,0.5860613882541656,0.6700000166893005,0.7684305906295776,0.6969696879386902,0.6567164063453674,0.5822784900665283,0.6547756195068359,0.5
9,100,0.5750637650489807,0.7300000190734863,0.8046132922172546,0.8484848737716675,0.6716417670249939,0.6746987700462341,0.7219647765159607,0.5600000023841858
10,100,0.5849364995956421,0.7300000190734863,0.7833559513092041,0.42424243688583374,0.8805969953536987,0.5090909004211426,0.6614420413970947,0.6363636255264282
11,100,0.5602193176746368,0.7400000095367432,0.8340117931365967,0.39393940567970276,0.9104477763175964,0.5,0.662162184715271,0.6842105388641357
12,100,0.5516993999481201,0.7300000190734863,0.8050656318664551,0.6666666865348816,0.7611940503120422,0.6197183132171631,0.7052080035209656,0.5789473652839661
13,100,0.5279997289180756,0.7900000214576721,0.8525553941726685,0.7272727489471436,0.8208954930305481,0.695652186870575,0.7676734328269958,0.6666666865348816
14,100,0.5286524295806885,0.7699999809265137,0.8231569528579712,0.6666666865348816,0.8208954930305481,0.6567164063453674,0.7418920397758484,0.6470588445663452
15,100,0.6320475935935974,0.7099999785423279,0.7548620700836182,0.24242424964904785,0.9402984976768494,0.35555556416511536,0.5842294096946716,0.6666666865348816
16,100,0.5296178758144379,0.7699999809265137,0.814563512802124,0.6666666865348816,0.8208954930305481,0.6567164063453674,0.7418920397758484,0.6470588445663452
17,100,0.5463033616542816,0.7300000190734863,0.8123021125793457,0.5454545617103577,0.8208954930305481,0.5714285969734192,0.6871741414070129,0.6000000238418579
18,100,0.5793747007846832,0.7200000286102295,0.7892356514930725,0.4545454680919647,0.8507462739944458,0.517241358757019,0.6600291728973389,0.6000000238418579
19,100,0.5238098502159119,0.7599999904632568,0.8181818127632141,0.6060606241226196,0.8358209133148193,0.625,0.7242647409439087,0.6451612710952759
20,100,0.5287863612174988,0.75,0.8177295327186584,0.6060606241226196,0.8208954930305481,0.6153846383094788,0.7150996923446655,0.625
21,100,0.5252121984958649,0.75,0.8281320333480835,0.7272727489471436,0.7611940503120422,0.6575342416763306,0.730341911315918,0.6000000238418579
22,100,0.5597804486751556,0.7200000286102295,0.7951153516769409,0.5151515007019043,0.8208954930305481,0.5483871102333069,0.6727442741394043,0.5862069129943848
23,100,0.5270945131778717,0.75,0.8208955526351929,0.5757575631141663,0.8358209133148193,0.60317462682724,0.7103464603424072,0.6333333253860474
24,100,0.5391353368759155,0.6899999976158142,0.8136589527130127,0.7575757503509521,0.6567164063453674,0.6172839403152466,0.6783899068832397,0.5208333134651184
25,100,0.4984944462776184,0.7799999713897705,0.8412482738494873,0.6969696879386902,0.8208954930305481,0.6764705777168274,0.7549019455909729,0.6571428775787354
26,100,0.5106331408023834,0.75,0.8303934931755066,0.7575757503509521,0.746268630027771,0.6666666865348816,0.7333333492279053,0.5952380895614624
27,100,0.5081392526626587,0.7300000190734863,0.832202672958374,0.7575757503509521,0.7164179086685181,0.649350643157959,0.7149192094802856,0.5681818127632141
28,100,0.53033646941185,0.7400000095367432,0.813206672668457,0.8181818127632141,0.7014925479888916,0.675000011920929,0.7291666865348816,0.5744680762290955
29,100,0.49624158442020416,0.7799999713897705,0.8475802540779114,0.7272727489471436,0.8059701323509216,0.6857143044471741,0.7582417726516724,0.6486486196517944
30,100,0.5101140588521957,0.75,0.8218001127243042,0.6666666865348816,0.7910447716712952,0.6376811861991882,0.7234207391738892,0.6111111044883728
