epoch,round,train_accuracy,train_auc,train_f1,train_f1_macro,train_precision,train_sensitivity,train_specificity,train_loss,train_prox_loss,val_accuracy,val_auc,val_f1,val_f1_macro,val_precision,val_sensitivity,val_specificity,val_loss,duration_seconds
1,1.0,0.5167824029922485,0.6476486921310425,0.11640211939811707,0.3919326663017273,0.06358381360769272,0.6875,0.5084951519966125,0.7242489722039964,0.5460377103752561,0.8954545259475708,0.6830217838287354,0.2068965584039688,0.5754677653312683,0.1304347813129425,0.5,0.9065420627593994,0.7189851552248001,39.43461437197402
2,1.0,0.6840277910232544,0.771533727645874,0.18263472616672516,0.49339771270751953,0.10391822457313538,0.7530864477157593,0.6806314587593079,0.6620991207935192,0.7718245254622565,0.7727272510528564,0.8060747385025024,0.13793103396892548,0.5035204887390137,0.07692307978868484,0.6666666865348816,0.7757009267807007,0.6613289713859558,9.1419377529528
3,2.0,0.7106481194496155,0.7094508409500122,0.15540540218353271,0.4904122054576874,0.08984375,0.574999988079071,0.7172330021858215,0.6951156876705311,0.7035797326653092,0.33636364340782166,0.7445483207702637,0.07594936341047287,0.2791094183921814,0.03947368264198303,1.0,0.3177570104598999,0.8138164281845093,38.477575129130855
4,2.0,0.734375,0.8539138436317444,0.22596964240074158,0.5328241586685181,0.13060428202152252,0.8374999761581421,0.7293689250946045,0.5948373300057871,0.761944505903456,0.2590909004211426,0.7936137318611145,0.06857142597436905,0.22673854231834412,0.03550295904278755,1.0,0.23831775784492493,0.8054882884025574,8.596602119039744
5,3.0,0.7476851940155029,0.7992250323295593,0.2072727233171463,0.5286191701889038,0.12179487198591232,0.6951219439506531,0.7503037452697754,0.6364941133393182,0.630360076824824,0.09545454382896423,0.8559190034866333,0.056872036308050156,0.0939382016658783,0.02926829271018505,1.0,0.07009346038103104,0.9300970137119293,38.1579920980148
6,3.0,0.71875,0.8465412259101868,0.2261146456003189,0.5271309018135071,0.12956205010414124,0.887499988079071,0.7105582356452942,0.5869022718182316,0.9281506405936347,0.7363636493682861,0.8138629198074341,0.12121212482452393,0.48306596279144287,0.06666667014360428,0.6666666865348816,0.7383177280426025,0.6216688752174377,7.967656319029629
7,4.0,0.7523148059844971,0.8431191444396973,0.23843416571617126,0.5452709794044495,0.1392931342124939,0.8271604776382446,0.748633861541748,0.5861633022626241,0.8040043711662292,0.47727271914482117,0.7982866168022156,0.09448818862438202,0.3635380268096924,0.04958677664399147,1.0,0.46261683106422424,0.8571004718542099,43.09050825913437
8,4.0,0.7430555820465088,0.8620911836624146,0.24232082068920135,0.5438084602355957,0.14059406518936157,0.8765432238578796,0.7364906072616577,0.5798561815862302,0.8565719392564561,0.5636363625526428,0.8348909616470337,0.1111111119389534,0.41097724437713623,0.05882352963089943,1.0,0.5514018535614014,0.7374449372291565,9.497402776964009
9,5.0,0.7465277910232544,0.8687175512313843,0.23693379759788513,0.5424780249595642,0.13793103396892548,0.8395061492919922,0.741955041885376,0.5635549624760946,0.6366610262129042,0.699999988079071,0.8286604881286621,0.1538461595773697,0.4857628643512726,0.0833333358168602,1.0,0.6915887594223022,0.6462628096342087,42.899560438934714
10,5.0,0.75,0.8842939734458923,0.25773194432258606,0.5537093877792358,0.1497005969285965,0.9259259104728699,0.7413479089736938,0.5421310354162145,0.7852809186334964,0.7590909004211426,0.8185358047485352,0.13114753365516663,0.4956529140472412,0.072727270424366,0.6666666865348816,0.7616822719573975,0.6458057314157486,10.60536344209686
11,6.0,0.7384259104728699,0.8416915535926819,0.2286689430475235,0.5355888605117798,0.13214990496635437,0.8481012582778931,0.7331716418266296,0.5932241567858944,0.6161515116691589,0.7545454502105713,0.8317756652832031,0.12903225421905518,0.4930875599384308,0.0714285746216774,0.6666666865348816,0.7570093274116516,0.6130367964506149,47.579144411953166
12,6.0,0.7361111044883728,0.8732600212097168,0.2450331151485443,0.5425726771354675,0.14149139821529388,0.9135802388191223,0.7273831367492676,0.5473647592244325,0.7868544437267162,0.6181818246841431,0.7133955955505371,0.10638298094272614,0.43180420994758606,0.05681818351149559,0.8333333134651184,0.6121495366096497,0.7472319453954697,9.454546424094588
13,7.0,0.7476851940155029,0.8752838969230652,0.24827586114406586,0.5483381748199463,0.1442885845899582,0.8888888955116272,0.7407407164573669,0.5492403694876918,0.6366279743335865,0.5863636136054993,0.7936137318611145,0.11650485545396805,0.4232375919818878,0.06185567006468773,1.0,0.5747663378715515,0.717246875166893,40.32956166495569
14,7.0,0.7743055820465088,0.9022019505500793,0.2723880708217621,0.5694131851196289,0.16079294681549072,0.8902438879013062,0.7685297727584839,0.519849380961171,0.7365413043234084,0.8863636255264282,0.8637071847915649,0.07407407462596893,0.506770670413971,0.0476190485060215,0.1666666716337204,0.9065420627593994,0.5780695527791977,10.416930035920814
15,8.0,0.7505787014961243,0.8856207132339478,0.23445825278759003,0.5427389740943909,0.1369294673204422,0.8148148059844971,0.747419536113739,0.5522922652739065,0.6143539271972798,0.9590908885002136,0.8450155854225159,0.0,0.4895591735839844,0.0,0.0,0.985981285572052,0.6300865858793259,42.16025972412899
16,8.0,0.7777777910232544,0.8785896301269531,0.25581395626068115,0.56260085105896,0.15172414481639862,0.8148148059844971,0.7759562730789185,0.5454344749450684,0.7290229201316833,0.37727272510528564,0.7733645439147949,0.08053690940141678,0.3048732578754425,0.0419580414891243,1.0,0.3598130941390991,0.8716294020414352,9.531205718172714
17,9.0,0.7575231194496155,0.8829746842384338,0.2584070861339569,0.5567372441291809,0.15082643926143646,0.9012345671653748,0.750455379486084,0.5367974848658951,0.5974784162309434,0.7409090995788574,0.8099688291549683,0.1230769231915474,0.48553845286369324,0.06779661029577255,0.6666666865348816,0.7429906725883484,0.6039928272366524,44.457324714865535
18,9.0,0.7899305820465088,0.918969988822937,0.2951456308364868,0.5858591198921204,0.1747126430273056,0.949999988079071,0.782160222530365,0.4956383153244301,0.7512964893270422,0.7181817889213562,0.7850466966629028,0.1621621549129486,0.49638164043426514,0.0882352963089943,1.0,0.7102803587913513,0.6419726461172104,10.811349821975455
